,A,2,3,4,5,6,7,8,9,10,
A-9,[0.683696 0.183695 -0.035206  _ ],[0.499065 0.219933 0.426708  _ ],[0.637891 0.259882 0.163260  _ ],[0.713401 0.203290 0.359449  _ ],[0.678191 0.256890 0.170999  _ ],[0.733486 0.284391 0.481333  _ ],[0.673269 0.285841 0.142644  _ ],[0.792152 0.275031 0.270852  _ ],[0.773000 0.283128 0.245592  _ ],[0.495667 0.233724 -0.063111  _ ],
A-10,[0.868520 0.179889 -0.013921  _ ],[0.899879 0.182839 0.275196  _ ],[0.863641 0.211599 0.170552  _ ],[0.930366 0.217535 0.268816  _ ],[0.898593 0.205611 0.244536  _ ],[0.910917 0.224073 0.160055  _ ],[0.931606 0.220965 0.195460  _ ],[0.899618 0.279524 0.189531  _ ],[0.949734 0.273088 0.229484  _ ],[0.959890 0.398145 0.569221  _ ],
A-A,[-0.163226 0.023304 -0.192769 0.374973],[-0.088950 0.048700 0.142922 0.434612],[-0.028187 0.045479 0.063670 0.447596],[-0.017264 0.040129 -0.093363 0.486747],[-0.048046 0.069049 0.099944 0.485186],[-0.064310 0.067675 -0.120124 0.491463],[-0.171302 0.084386 -0.032733 0.499958],[-0.122260 0.082424 -0.146357 0.484641],[-0.296466 0.051544 -0.241110 0.432846],[-0.519371 0.192508 -0.270470 0.408510],
2-2,[-0.321803 0.015126 -0.514591 0.071973],[-0.051579 0.024741 -0.162407 0.102159],[-0.049602 0.052197 -0.245305 0.147332],[-0.169816 0.048997 -0.037529 0.135357],[-0.032124 0.058577 0.036337 0.164357],[-0.095750 0.057239 -0.187865 0.212104],[-0.257819 0.138092 -0.331478 0.068830],[-0.178141 0.030174 -0.443558 0.114564],[-0.271803 0.026899 -0.522432 0.092033],[-0.536570 0.080022 -0.893878 0.067116],
3-3,[-0.252858 0.008552 -0.572318 0.060125],[-0.239324 0.031783 -0.193005 0.115107],[-0.032126 0.030024 -0.159771 0.134222],[-0.146671 0.036671 -0.027331 0.138919],[-0.130046 0.057466 -0.417350 0.171432],[-0.046205 0.028231 -0.119393 0.173413],[-0.149286 0.029902 -0.289504 0.136623],[-0.239019 0.014877 -0.247074 0.104727],[-0.279512 0.018803 -0.478938 0.093058],[-0.377880 0.049886 -0.961087 0.080639],
4-4,[-0.199944 0.013987 -0.136001 0.058779],[-0.123388 0.124242 -0.155701 0.035215],[-0.084633 0.132331 -0.165018 0.079946],[-0.143117 0.037047 -0.078988 0.142120],[0.009642 0.146076 0.066984 0.059225],[-0.060237 0.224259 0.004156 0.061449],[-0.217681 0.209237 -0.181504 0.032952],[-0.150830 0.120720 -0.033391 0.037861],[-0.323207 0.015707 -0.249631 0.070756],[-0.472923 0.035959 -0.559667 0.060622],
5-5,[-0.232855 0.224062 -0.039187 0.011765],[-0.116128 0.056654 0.656351 0.028221],[-0.131267 0.305347 -0.016120 0.047108],[-0.056808 0.248884 0.073095 0.054241],[0.021856 0.147339 0.526041 0.033910],[-0.032684 0.097471 0.591658 0.063054],[-0.217215 0.374428 0.056739 0.046691],[-0.320606 0.292649 0.150266 0.037142],[-0.176650 0.313158 -0.005805 0.017677],[-0.433826 0.269455 -0.071965 0.054162],
6-6,[-0.147348 -0.042664 -0.144421 0.064958],[-0.138057 -0.109003 -0.175172 0.075766],[-0.162957 -0.110846 0.011557 0.119612],[-0.044722 -0.083584 -0.010213 0.099300],[-0.039608 0.012712 -0.110206 0.156505],[-0.082472 -0.128270 -0.001034 0.169999],[-0.203085 -0.066157 -0.052423 0.100061],[-0.214607 -0.065884 -0.073182 0.085078],[-0.281019 -0.066055 -0.177317 0.057843],[-0.410514 -0.128335 -0.369955 0.058380],
7-7,[-0.197643 -0.106758 -0.175020 0.053879],[-0.097199 -0.145992 -0.022094 0.085753],[-0.087577 -0.154880 0.040002 0.093123],[-0.166557 -0.188231 -0.185150 0.100143],[-0.007017 -0.137307 -0.131431 0.143732],[-0.034678 -0.140225 -0.027323 0.161537],[-0.141565 -0.167558 -0.142941 0.128299],[-0.254250 -0.196872 -0.054278 0.096435],[-0.307197 -0.198169 -0.124005 0.074845],[-0.529952 -0.358071 -0.540688 0.056937],
8-8,[-0.270071 -0.210548 -0.220938 0.054383],[-0.185881 -0.163895 -0.122843 0.113602],[-0.211297 -0.306568 -0.017009 0.135002],[-0.113905 -0.268149 0.032690 0.127596],[-0.000235 -0.160539 -0.052669 0.207920],[-0.107467 -0.192526 0.007595 0.229543],[-0.317532 -0.184696 0.066967 0.248567],[-0.168876 -0.101640 -0.243781 0.147250],[-0.244983 -0.255601 -0.122087 0.074784],[-0.498875 -0.406380 -0.554159 0.058309],
9-9,[-0.085624 -0.163786 -0.181993 0.118057],[-0.031810 -0.269177 -0.233737 0.180985],[0.051426 -0.246459 -0.246986 0.234469],[0.060425 -0.274562 -0.157343 0.186767],[0.068107 -0.325731 -0.255997 0.230442],[0.073037 -0.240689 -0.243537 0.250056],[0.396887 -0.214686 -0.123736 0.110863],[0.095764 -0.234477 -0.127989 0.245119],[-0.107540 -0.250921 -0.205781 0.153639],[-0.223298 -0.591492 -0.536656 0.076003],
10-10,[0.682761 -0.821900 -0.801301 0.240022],[0.687317 -0.811225 -0.778267 0.270017],[0.602613 -0.846326 -0.789304 0.282749],[0.658667 -0.828647 -0.889145 0.285573],[0.595820 -0.870725 -0.794692 0.309923],[0.767648 -0.843778 -0.828843 0.299029],[0.769914 -0.839334 -0.699222 0.325877],[0.776356 -0.796449 -0.799668 0.308382],[0.747735 -0.919838 -0.806563 0.326121],[0.530891 -0.870445 -0.740711 0.198774],
